name,salary,experience,time,company,address,tags,hh_link,field
Аналитик рынков,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Юнисервис Капитал,Новосибирск,[],https://odintsovo.hh.ru/vacancy/92745145,Analyst
Младший аналитик,,Требуемый опыт работы: не требуется,"Полная занятость, полный день",ООО НПК КАТАРСИС,Санкт,[],https://odintsovo.hh.ru/vacancy/71903031,Analyst
Экономист-аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ДОМСПб,Санкт,[],https://odintsovo.hh.ru/vacancy/93589040,Finance Analyst
Системный аналитик,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",Северсталь. Управляющая компания,Москва,[],https://odintsovo.hh.ru/vacancy/93588290,System Analyst
Системный аналитик,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",билайн: Контактные центры,Москва,[],https://odintsovo.hh.ru/vacancy/93053330,System Analyst
Бизнес-аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Alta Personnel,Москва,"['SQL', 'Бизнес-анализ', 'ORACLE', 'postgres', 'MySQL', 'Power BI', 'tableau', 'excel', 'Python', 'R']",https://odintsovo.hh.ru/vacancy/93586088,Business Analyst
Бизнес-аналитик,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",АО РАСЧЕТНЫЕ РЕШЕНИЯ,Москва,"['UML', 'BPMN', 'SQL', 'XML', 'Бизнес-анализ', 'Xsd', 'XML/Xslt', 'SOAP', 'REST']",https://odintsovo.hh.ru/vacancy/92506609,Business Analyst
Старший аналитик,51264 до 51264 ₽ до вычета налогов,Требуемый опыт работы: 1–3 года,"Полная занятость, сменный график",LEOMAX,Пенза,"['VBA', 'Анализ данных', 'Аналитическое мышление', 'SQL', 'Системный анализ', 'MS Excel', 'MS Outlook']",https://odintsovo.hh.ru/vacancy/92073265,System Analyst
Бизнес-аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",АО Халык-Лизинг,Алматы,['Английский\xa0— A1 — Начальный'],https://odintsovo.hh.ru/vacancy/93258120,Business Analyst
Data Analyst,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ТОО КазТур,Алматы,"['SQL', 'Python', 'Математическая статистика', 'Data Analysis']",https://odintsovo.hh.ru/vacancy/93581284,Data Analyst
Экономист (Аналитик данных),,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",ООО Виа Логистик,Ростов,"['Бюджетирование', 'Формирование бюджета', 'Финансовое планирование', 'Анализ себестоимости']",https://odintsovo.hh.ru/vacancy/92571686,Finance Analyst
Экономист-аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ERGONOVA,Челябинск,[],https://odintsovo.hh.ru/vacancy/93267492,Finance Analyst
Бизнес-аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ООО ЦТР НЕКСТ,,[],https://odintsovo.hh.ru/vacancy/90579464,Business Analyst
Системный аналитик,90000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ООО Протей Ай-Ти-Инжиниринг,Санкт,"['Системный анализ', 'Работа с базами данных', 'Анализ данных', 'Информационные технологии', 'Автоматизация процессов', 'Сбор и анализ информации', 'Аналитика', 'Базы данных']",https://odintsovo.hh.ru/vacancy/93579549,System Analyst
Системный аналитик,145000 ₽ на руки,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа",ООО Специализированный Застройщик Железно,Киров,"['Анализ данных', 'Аналитические исследования', 'Деловая коммуникация', 'Аналитика', 'Работа с большим объемом информации', 'Умение работать в коллективе']",https://odintsovo.hh.ru/vacancy/91354571,System Analyst
Бизнес-аналитик,,Требуемый опыт работы: 3–6 лет,"Полная занятость, гибкий график",ООО ГК Иннотех | Финтех (Иннотех),Москва,"['Бизнес-анализ', 'SQL', 'Аналитика', 'Аналитические исследования', 'MS SQL', 'Scrum', 'QS', 'BI']",https://odintsovo.hh.ru/vacancy/93578392,Business Analyst
Аналитик данных,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",ПАО «МТС» ,Москва,"['SQL', 'Python', 'ORACLE', 'PostgreSQL', 'clickhouse', 'Prometheus', 'Grafana']",https://odintsovo.hh.ru/vacancy/93494895,Data Analyst
Системный аналитик,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа",ИНСКОМ,Москва,[],https://odintsovo.hh.ru/vacancy/93472472,System Analyst
Экономист-аналитик,75000 до 75000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ООО ГК ТОЧНО,Краснодар,"['Финансовый анализ', 'Финансовый контроль', 'Статистика', 'Анализ финансовых показателей', 'Формирование бюджета', 'Планирование', 'Строительство', 'Статистический анализ', 'Аналитическое мышление', 'Бюджетирование', 'Ценообразование', 'Управленческая отчетность', 'Финансовое моделирование']",https://odintsovo.hh.ru/vacancy/90913077,Finance Analyst
Системный аналитик,170000 до 230000 ₽ на руки,Требуемый опыт работы: более 6 лет,"Частичная занятость, удаленная работа",ИП Зубченко Вероника Сергеевна,Москва,['Системный анализ'],https://odintsovo.hh.ru/vacancy/93039188,System Analyst
Аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Frank RG,Москва,"['MS PowerPoint', 'Excel', 'Подготовка презентаций', 'Анализ рынка', 'Исследования рынка', 'Консалтинг', 'Маркетинговые исследования', 'Investment Banking', 'Market Research', 'Research', 'Аналитика', 'Управление проектами', 'Прогнозирование', 'ВПР', 'Сводные таблицы', 'Анализ конкурентной среды', 'Базы данных', 'Стратегический консалтинг', 'Сбор и анализ информации', 'Benchmarking', 'Бизнес-анализ', 'Английский\xa0— B1 — Средний']",https://odintsovo.hh.ru/vacancy/92722171,Business Analyst
Коммерческий аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",3Logic Group,Москва,"['Python', 'SQL', 'VBA', 'PowerShell', 'Анализ данных', 'MS SQL', 'Pandas', 'Математическая статистика', 'Статистический анализ', 'Аналитика', 'Базы данных', 'Data Analysis', 'Numpy']",https://odintsovo.hh.ru/vacancy/87257312,Data Analyst
Младший аналитик данных (junior data analyst),,Требуемый опыт работы: не требуется,"Полная занятость, полный день",Компания CADesign,Иваново,[],https://odintsovo.hh.ru/vacancy/92149532,Data Analyst
Системный аналитик (финтех),,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа",USETECH,Нижний,"['SQL', 'UML', 'BPMN', 'API']",https://odintsovo.hh.ru/vacancy/93592845,System Analyst
Системный аналитик (Middle),,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа",Т1 Консалтинг,Москва,[],https://odintsovo.hh.ru/vacancy/92755025,System Analyst
Аналитик данных,100000 до 100000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Миллениум, ГК",Ростов,"['Аналитическое мышление', 'Анализ данных', '1С', 'MS Excel', 'Сводные таблицы', 'Системное мышление', 'Анализ ассортиментной линейки', 'Power BI', 'Навыки презентации', 'Аналитика продаж']",https://odintsovo.hh.ru/vacancy/89508994,Data Analyst
Аналитик,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",Технорос,Санкт,"['Бизнес-анализ', 'Аналитика', 'Сбор и анализ информации', 'Анализ данных', '1С: Управление предприятием', 'УТ11', 'My SAP ERP']",https://odintsovo.hh.ru/vacancy/86878483,Business Analyst
Аналитик поддержки витрин данных,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Сбер для экспертов,Санкт,[],https://odintsovo.hh.ru/vacancy/93521808,Data Analyst
Старший системный аналитик,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",Тинькофф,Ижевск,"['BPMN', 'UML', 'SQL', 'Системный анализ', 'Бизнес-анализ']",https://odintsovo.hh.ru/vacancy/93590925,System Analyst
Аналитик,47000 ₽ до вычета налогов,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Яндекс Команда для бизнеса,Воронеж,[],https://odintsovo.hh.ru/vacancy/93558282,Analyst
Системный аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",АО Научно-производственная фирма Микран,Томск,[],https://odintsovo.hh.ru/vacancy/93572618,System Analyst
Аналитик,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день","«Почта России», Офис",Москва,"['Аналитическое мышление', 'Анализ бизнес показателей', 'Аналитика', 'Прогнозирование', 'Экономический анализ', 'Стратегическое мышление', 'Финансовый анализ', 'VBA', 'SQL', 'Power BI', 'Бизнес-анализ', 'Анализ данных', 'Сводные таблицы']",https://odintsovo.hh.ru/vacancy/89802347,Business Analyst
Системный аналитик (Junior),125000 до 125000 ₽ до вычета налогов,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа",KTE Labs,Тула,"['MS PowerPoint', 'SQL', 'Аналитическое мышление', 'Аналитические исследования', 'MS Access', 'Грамотность', 'Грамотная речь', 'BPMN']",https://odintsovo.hh.ru/vacancy/92984873,System Analyst
Контент-менеджер/Аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Brandquad,Волгоград,"['Английский язык', 'Аналитическое мышление', 'MS Excel', 'Работа с большим объемом информации', 'Работа с базами данных', 'Анализ данных', 'Аналитика', 'ВПР', 'Английский\xa0— B1 — Средний']",https://odintsovo.hh.ru/vacancy/93588547,Data Analyst
Аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",КОНТРОЛ лизинг,Москва,"['Data Lens', 'Power BI', 'MS Excel', 'SQL']",https://odintsovo.hh.ru/vacancy/93150057,Data Analyst
