,field,salary,experience,company,address,tags,job type,job hours,sql,python,анализ данных,аналитическое мышление,postgresql,etl,ms excel,аналитика,power bi,работа с большим объемом информации,работа с базами данных,системный анализ,linux,clickhouse,bpmn,data analysis,английский язык,dwh,базы данных,бизнес-анализ,ml,big data,git,ms sql,uml,machine learning,spark,airflow,hadoop,docker,kafka,аналитические исследования,сбор и анализ информации,математическая статистика,английскийb1 — средний,разработка технических заданий,английскийb2 — средне-продвинутый,rest,kubernetes,ms powerpoint,анализ бизнес показателей,tableau,data science,pandas,oracle,pytorch,nlp,постановка задач разработчикам,atlassian jira,a/b тесты
37,Business Analyst,0.0,1–3 года,АО Халык-Лизинг,Алматы,английский\xa0— a1 — начальный,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Data Analyst,0.0,1–3 года,ТОО КазТур,Алматы,sql python математическая статистика data analysis,полная занятость,полный день,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Data Analyst,0.0,3–6 лет,ООО Виа Логистик,Ростов,бюджетирование формирование бюджета финансовое планирование анализ себестоимости,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Data Analyst,0.0,1–3 года,ERGONOVA,Челябинск,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Business Analyst,0.0,1–3 года,ООО ЦТР НЕКСТ,,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,System Analyst,90000.0,1–3 года,ООО Протей Ай-Ти-Инжиниринг,Санкт-Петербург,системный анализ работа с базами данных анализ данных информационные технологии автоматизация процессов сбор и анализ информации аналитика базы данных,полная занятость,полный день,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,System Analyst,145000.0,3–6 лет,ООО Специализированный Застройщик Железно,Киров,анализ данных аналитические исследования деловая коммуникация аналитика работа с большим объемом информации умение работать в коллективе,полная занятость,удаленная работа,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Business Analyst,0.0,3–6 лет,ООО ГК Иннотех | Финтех (Иннотех),Москва,бизнес-анализ sql аналитика аналитические исследования ms sql scrum qs bi,полная занятость,гибкий график,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Data Analyst,0.0,3–6 лет,ПАО «МТС» ,Москва,sql python oracle postgresql clickhouse prometheus grafana,полная занятость,полный день,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,System Analyst,0.0,3–6 лет,ИНСКОМ,Москва,,полная занятость,удаленная работа,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
